Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,2.0792246,0.33205348,-0.5432973,591.5,1200.0,-13.999000417999923,-13.999000417999923,0.0,1.0
20000,2.0618775,-0.011542879,-0.43880048,1062.0,1200.0,-35.40646948479116,-35.40646948479116,6.562566757202148,1.0
30000,2.023769,-0.25279143,0.02265224,1772.25,1200.0,-64.7775012254715,-64.7775012254715,77.43898415565491,1.0
40000,1.9515716,-0.5052198,0.34802842,814.3333333333334,1199.1638537979331,-23.814914383925498,-23.814914383925498,32.848919787677005,1.0
50000,1.8642467,-0.75066626,0.5754491,1033.75,1197.3075813196435,-34.579556242873274,-34.579556242873274,32.44127154350281,1.0
60000,1.7413011,-0.6915154,0.60441214,303.175,1200.1252459755563,-2.182555610934893,-2.182555610934893,4.5302499756217,1.0
70000,1.704279,-0.73899156,0.8144318,496.75,1203.1528815309525,-10.812653842847794,-10.812653842847794,12.956315408926457,1.0
80000,1.6285955,-0.5346506,0.8092759,513.7222222222222,1203.3875442967365,-3.36244450799293,-3.36244450799293,7.289963389436404,1.0
90000,1.5913372,-0.5269293,0.79332805,440.8,1202.7644970294937,-0.1664444696572092,-0.1664444696572092,3.1738751050498752,1.0
100000,1.6120627,-0.6110635,0.8396581,841.025641025641,1198.5611895799025,-14.120952606555962,-14.120952606555962,23.109653174167587,1.0
110000,1.5650504,-0.485943,0.7240837,304.05882352941177,1194.4156694354074,-0.8309667035937309,-0.8309667035937309,1.8124715915881098,1.0
120000,1.4497862,-0.38929904,0.7592149,291.1914893617021,1196.3682979581367,0.40746152200377905,0.40746152200377905,1.5367087677407723,1.0
130000,1.5055789,-0.30226433,0.7663554,302.3,1196.817559019456,-0.08759421822817429,-0.08759421822817429,1.7489635016283263,1.0
140000,1.4674944,-0.22310773,0.74361867,254.52380952380952,1198.8394638269385,0.4166666592160861,0.4166666592160861,1.0358535537379794,1.0
150000,1.4517286,-0.1803035,0.72892386,178.28571428571428,1199.0255715405237,0.6843437454663217,0.6843437454663217,1.0366488144209143,1.0
160000,1.4256234,-0.10033971,0.7013056,234.96428571428572,1196.2797852159856,-0.021822924027219415,-0.021822924027219415,0.7595768814207986,1.0
170000,1.4289503,-0.037827924,0.6670812,404.6896551724138,1200.2809116776002,0.22626469854046316,0.22626469854046316,1.702955454485217,1.0
180000,1.4483438,0.015029655,0.63953424,167.6,1203.9790451357296,0.7189189151332185,0.7189189151332185,0.46251714880251,1.0
190000,1.4328636,0.056628384,0.619922,147.6290322580645,1204.739294324966,0.5816578917989605,0.5816578917989605,0.4236071299467432,1.0
200000,1.4115269,0.05961446,0.5884984,439.4776119402985,1206.8724370190093,0.1606341358342367,0.1606341358342367,1.5816259864922158,1.0
210000,1.3719046,0.09089012,0.5707669,118.63076923076923,1209.420813787304,0.3373680518319209,0.3373680518319209,0.37613089974426356,1.0
220000,1.3353584,0.0706229,0.52334315,324.3863636363636,1208.2566627569397,-0.12784849547527052,-0.12784849547527052,1.152205876106481,1.0
230000,1.3503041,0.08900247,0.49302956,362.3658536585366,1207.2672796504507,0.3812499982304871,0.3812499982304871,0.7130029839463532,1.0
240000,1.3409554,0.045264646,0.45053187,239.88571428571427,1207.096934147039,0.09999999817874697,0.09999999817874697,0.9286971439917883,1.0
250000,1.3189758,0.004855624,0.4148365,805.7307692307693,1205.5951276033525,-0.9274444550275802,-0.9274444550275802,2.298737037057678,1.0
